ITEM CODE,IE Trade,IE High,IE Mid,IE Low,IE Base,IE EDM,IE ANEW
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IHK69593939FTI-98,87.61,35.04,31.14,31.14,31.14,33.29,33.29
,,,,,,,
,,,,,,,
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
I3939HNPUY-98,62.39,24.95,21.65,20.81,19.97,23.71,22.72
IZNIX,21.74,8.68,7.24,6.52,5.8,8.26,7.59
IZNHHG,6.46,2.57,2.09,1.87,1.65,2.44,2.18
IZNHFH-5D,17.65,7.05,6.05,5.54,5.04,6.71,6.35
IKOYIP-98,33.29,13.3,11.63,10.8,9.97,12.65,12.65
,,,,,,,
IHO71593939-98,167.41,66.96,59.09,56.62,54.16,63.61,62.04
,,,,,,,
,,,,,,,
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IHYVC93-98,41.5,16.6,16.6,16.6,16.6,17.75,17.75
IHYVC87-98,32.43,12.97,12.97,12.97,12.97,13.73,13.73
IHYVC84-98,,,,,,,
IHYVC84V-98,,,,,,,
IHYVC81-98,,,,,,,
,,,,,,,
,,,,,,,
ISVND-95,22.41,8.96,7.92,7.92,7.92,8.51,8.51
I6VN7K-95,68.7,27.48,24.29,24.29,24.29,26.12,26.12
IZVHFH-7D,8.27,3.3,2.98,2.69,2.39,3.13,3.15
,,,,,,,
IHY895993-98,40.21,16.08,14.21,13.67,13.12,15.27,15.27
IHY795993-98,41.72,16.69,14.74,14.74,14.74,15.85,15.85
IHY795987-98,39.52,15.81,13.97,13.97,13.97,15.02,15.02
IHY595987-98,38.27,15.31,13.53,13.53,13.53,14.54,14.54
IHY705984-98,36.81,14.72,13.01,13.01,13.01,13.99,13.99
IHY705984V-98,166.49,66.59,58.84,58.84,58.84,63.26,63.26
IHY415984-98,63.35,25.34,22.38,22.38,22.38,24.07,24.07
IHY605981-98,95.19,38.08,33.64,32.35,31.05,36.18,36.18
IHY235981-98,86.97,34.79,30.73,29.71,28.68,33.05,33.05
,,,,,,,
,,,,,,,
IZVHFH-7D,8.27,3.3,2.98,2.69,2.39,3.13,3.15
IOVNKPWG-KHF,99.35,39.74,35.11,35.11,35.11,37.76,37.76
IOND,24.27,9.71,8.58,8.36,8.15,9.22,9.22
,,,,,,,
IHYC987-98,50.29,20.11,17.77,17.77,17.77,19.11,19.11
IHYC984-98,54.04,21.62,19.1,19.1,19.1,20.54,20.54
IHYC984V-98,133.61,53.45,47.23,47.23,47.23,50.78,50.78
IHYC981-98,82.83,33.13,29.27,29.27,29.27,31.47,31.47
,,,,,,,
,,,,,,,
IZVHFH-7D,8.27,3.3,2.98,2.69,2.39,3.13,3.15
IOVNKPWG-KHF,99.35,39.74,35.11,35.11,35.11,37.76,37.76
IOND,24.27,9.71,8.58,8.36,8.15,9.22,9.22
,,,,,,,
IXZ515984-98,93.58,37.42,34.46,33.47,32.49,35.55,36.19
IXZ515984V-98,159.69,63.87,59.87,58.87,57.88,60.68,62.86
IXZ195984-98,185.78,74.33,67.57,66.21,64.85,70.6,70.95
IXZ195984V-98,191.69,76.68,71.9,70.93,69.97,72.85,75.49
IXZ395981-98,119.94,47.95,44.96,43.96,42.97,45.57,47.21
IXZ035981-98,195.36,78.12,74.01,74.01,74.01,74.23,77.73
,,,,,,,
IXZ515984-98ZW,178.27,71.3,68.07,66.88,65.69,67.74,67.74
IXZ515984-98WW,301.74,129.14,120,117.14,114.28,122.68,126
IXZ515984-98WWV,390.64,167.19,157.97,153.93,149.9,158.83,165.86
IXZ515984-98HVM,228.42,91.37,87.21,85.7,84.18,86.81,86.81
IXZ515984-98HVMV,286.71,110.24,105.25,103.41,101.57,108.91,104.74
IXZ515984-98HGV,370.66,158.64,150.47,146.38,142.29,156.75,157.98
IXZ195984-98ZW,357.86,153.16,141.63,137.03,132.43,145.5,148.72
IXZ195984-98ZWV,,,,,,,
IXZ195984-98WW,497.59,212.96,196.93,190.54,184.14,202.31,206.79
IXZ195984-98WWV,,,,,,,
IXZ195984-98V,281.35,108.21,103.29,101.48,99.68,106.9,102.79
IXZ195984-98KRI,211.72,84.7,80.86,79.44,78.02,80.46,80.46
IXZ195984-98KRIV,242.02,96.82,92.43,90.81,89.2,91.97,91.97
IXZ195984-98HVM,188.96,75.58,72.15,70.88,69.62,71.8,71.8
IXZ195984-98HVMV,229.28,91.7,87.55,86.02,84.49,87.12,87.12
IXZ395981-98V,298.53,119.4,113.97,111.98,109.98,113.43,113.43
IXZ035981-98WW,,,,,,,
IXZ035981-98WWV,,,,,,,
IXZ035981-98V,311.81,124.71,119.06,116.97,114.89,118.49,118.49
IXZ035981-98HVM,185.21,79.26,74.49,72.1,69.71,75.31,78.21
IXZ035981-98HVMV,258.81,110.77,105.86,103.41,100.96,105.23,111.16
,,,,,,,
IVICXXG693-98,24.59,9.82,8.69,8.69,8.69,9.34,9.34
IVICXXG687-98,31.55,12.62,11.15,11.15,11.15,11.99,11.99
IVICXXG684-98,51,20.4,18.03,18.03,18.03,19.38,19.38
,,,,,,,
IHXC5987-98,114.95,45.98,40.62,40.62,40.62,43.67,43.67
IHXC5984-98,153.43,61.37,54.22,54.22,54.22,58.29,58.29
,,,,,,,
,,,,,,,
IHXCHFH,25.05,10.02,8.85,8.85,8.85,9.52,9.52
,,,,,,,
IVE59596987G-98,307.23,122.89,108.49,106.73,104.96,116.75,116.75
,,,,,,,
,,,,,,,
ISI7459FTI-89,418,167.2,147.67,141.46,135.26,158.83,158.83
ISI7459FTIWW-89,416.32,166.54,147.97,145.64,143.31,158.2,158.2
,,,,,,,
,,,,,,,
ISI7459-FK,49.36,19.75,17.72,16.67,15.63,18.76,18.76
ISIXGY-89,,,,,,,
ISIXGY-98,,,,,,,
ISIH84,31.15,12.47,10.3,9.27,8.24,11.85,11.85
ISIHWW84,30.58,12.24,10.11,9.1,8.09,11.63,11.63
ISIHFH,21.64,8.65,6.92,6.06,5.19,8.22,8.22
ISIOY7,38.99,15.59,12.88,11.6,10.31,14.82,14.82
,,,,,,,
ISI59XXG6-89,326.93,130.76,115.59,110.73,105.87,124.23,124.23
ISI59XXG6-98,249.8,99.92,88.28,84.57,80.85,94.93,94.93
ISI59XXG6WW-89,436.35,174.53,157.25,152.43,147.62,165.8,165.8
,,,,,,,
,,,,,,,
ISI59XXG6-FK,50.24,20.1,18.09,17.08,16.08,19.09,19.09
ISIXGY-89,,,,,,,
ISIXGY-98,,,,,,,
ISIH84,31.15,12.47,10.3,9.27,8.24,11.85,11.85
ISIHWW84,30.58,12.24,10.11,9.1,8.09,11.63,11.63
ISIHFH,21.64,8.65,6.92,6.06,5.19,8.22,8.22
ISIOY7,38.99,15.59,12.88,11.6,10.31,14.82,14.82
,,,,,,,
,,,,,,,
,,,,,,,
IFOC-98,26.18,10.47,9.38,9.38,9.38,9.94,9.94
,,,,,,,
IFOC-X,31.12,12.45,11,11,11,11.82,11.82
IFOGIRN-96,2.89,1.15,1.04,1.04,1.04,1.1,1.1
IFOGIRN-89,3.09,1.23,1.12,1.12,1.12,1.17,1.17
IFOGIRN-86,2.88,1.14,1.04,1.04,1.04,1.09,1.09
IFOHGIRN-85,4.52,1.81,1.59,1.59,1.59,1.71,1.71
IFO864GIRN-98,16.49,6.6,5.83,5.56,5.3,6.27,6.27
,,,,,,,
IFOG93C5-98,36.97,14.78,13.04,13.04,13.04,14.04,14.04
,,,,,,,
IFOGGIRN-86,6.02,2.42,2.12,2.12,2.12,2.29,2.29
IFOGGIRN-96,6.46,2.59,2.28,2.28,2.28,2.46,2.46
IFOGGIRN-89,5.54,2.22,1.95,1.95,1.95,2.11,2.11
,,,,,,,
IFOZ95-98,34.71,13.88,12.26,11.7,11.14,13.18,13.18
,,,,,,,
IFOC-X,31.12,12.45,11,11,11,11.82,11.82
IFOZGIRN-98,4.78,1.91,1.69,1.59,1.48,1.82,1.82
IFOZGIRN-95,4.83,1.93,1.71,1.6,1.5,1.84,1.84
IFOZGIRN-86,7.55,3.02,2.68,2.54,2.41,2.88,2.88
,,,,,,,
IFOUC-98,18.17,7.27,6.42,6.42,6.42,6.91,6.91
IFOUCNK-98,101.85,40.74,36,36,36,38.71,38.71
,,,,,,,
IFOC-X,31.12,12.45,11,11,11,11.82,11.82
IFOUCGIRN-95,2.88,1.15,1.02,1.02,1.02,1.09,1.09
IFOUCGIRN-86,4.41,1.77,1.55,1.55,1.55,1.67,1.67
,,,,,,,
IFOUZ-98,27.21,10.89,9.62,9.14,8.65,10.34,10.34
,,,,,,,
IFOC-X,31.12,12.45,11,11,11,11.82,11.82
,,,,,,,
IGVC-98,18.28,7.31,6.46,6.46,6.46,6.95,6.95
IGVCNK-98,89.29,35.72,31.56,31.56,31.56,33.94,33.94
,,,,,,,
IGVCGIRN-96,1.97,0.79,0.7,0.7,0.7,0.75,0.75
IGVCGIRN-95,1.99,0.8,0.7,0.7,0.7,0.75,0.75
IGVCGIRN-86,2.11,0.84,0.75,0.75,0.75,0.8,0.8
,,,,,,,
IGVGC-98,23.36,9.35,8.26,7.84,7.43,8.88,8.88
,,,,,,,
IGVCGIRN-96,1.97,0.79,0.7,0.7,0.7,0.75,0.75
IGVCGIRN-95,1.99,0.8,0.7,0.7,0.7,0.75,0.75
IGVCGIRN-86,2.11,0.84,0.75,0.75,0.75,0.8,0.8
,,,,,,,
IGH92C9-98,19.41,7.76,6.83,6.83,6.83,7.38,7.38
,,,,,,,
IGHGIRN-96,4.59,1.84,1.6,1.6,1.6,1.74,1.74
IGHGIRN-89,2.74,1.1,0.95,0.95,0.95,1.04,1.04
IGHGIRN-86,4.25,1.71,1.48,1.48,1.48,1.61,1.61
,,,,,,,
IGH92C97K-98,14.22,5.69,5.02,5.02,5.02,5.4,5.4
,,,,,,,
IGHGIRN-96,4.59,1.84,1.6,1.6,1.6,1.74,1.74
IGHGIRN-89,2.74,1.1,0.95,0.95,0.95,1.04,1.04
IGHGIRN-86,4.25,1.71,1.48,1.48,1.48,1.61,1.61
,,,,,,,
IIZ916939-98,36.32,14.54,11.57,11.57,11.57,13.81,12.16
IIZ915939-98,36.3,14.53,11.56,11.56,11.56,13.8,12.15
,,,,,,,
IIZGIRN-96,4.65,1.57,1.57,1.57,1.57,1.75,1.66
IIZGIRN-86,4.5,1.54,1.54,1.54,1.54,1.7,1.63
,,,,,,,
IXKU89,9.54,3.82,2.55,2.55,2.55,2.55,2.55
,,,,,,,
IXKURT,0.8,0.32,0.28,0.27,0.26,0.3,0.3
IXKUY79H-98,4.13,1.65,1.2,1.2,1.2,1.2,1.2
IXKUY79H-96,3.47,1.39,0.84,0.84,0.84,0.84,0.84
IXKUY79H-89,5.05,2.02,1.47,1.47,1.47,1.47,1.47
IXKUY79H-86,6.03,2.41,1.46,1.46,1.46,1.46,1.46
IXKUY34H-98,4.39,1.75,1.61,1.61,1.61,1.61,1.61
IXKUY34H-96,6.52,2.61,1.9,1.9,1.9,1.9,1.9
IXKUY34H-86,6.35,2.54,1.85,1.85,1.85,1.85,1.85
IXKUY79W-98,5.26,2.09,1.46,1.46,1.46,1.46,1.46
IXKUY79W-96,6.43,2.57,1.42,1.42,1.42,1.42,1.42
IXKUY79W-86,7.53,3.01,1.66,1.66,1.66,1.66,1.66
,,,,,,,
IHU798-98,13.7,5.49,4.71,4.49,4.27,5.2,4.95
IHU798-96,10.17,4.07,3.51,3.37,3.22,3.86,3.7
IHU798-86,12.78,5.11,4.42,4.23,4.05,4.86,4.66
,,,,,,,
IHU791-98,17.3,6.93,5.88,5.63,5.38,6.58,6.18
IHU791-96,16.15,6.46,5.54,5.32,5.1,6.13,5.83
IHU791-86,15.88,6.35,5.45,5.23,5.01,6.03,5.73
,,,,,,,
IHU79834-98,20.34,8.14,6.89,6.58,6.26,7.74,7.24
IHU79834-96,17.34,6.93,5.95,5.7,5.46,6.58,6.26
IHU79834-86,24.12,9.63,8.28,7.94,7.59,9.15,8.71
,,,,,,,
IMZ3XXG6-98,17.06,6.82,5.98,5.98,5.98,6.49,6.49
IMZ3XXG6-95,15.26,6.11,5.39,5.24,5.09,5.79,5.79
IMZ1XXG6-98,13.41,5.36,4.73,4.54,4.34,5.09,5.09
IMZ1XXG6-95,20.91,8.36,7.38,7.07,6.77,7.93,7.93
IMZ87XXG6-98,,,,,,,
IMZ81XXG6-98,,,,,,,
IMZ75XXG6-98,39.67,15.87,14.02,13.59,13.17,15.07,15.07
,,,,,,,
IMZ3GIRN-89,3.03,1.21,1.07,1.01,0.94,1.15,1.15
IMZ87GIRN-86,,,,,,,
IMZ81GIRN-86,,,,,,,
IMZ75GIRN-86,,,,,,,
,,,,,,,
IX2D276-98,51.18,20.49,17.36,16.56,15.77,19.45,18.2
,,,,,,,
IX2GIRNC-95,12.47,5,3.73,3.11,2.48,4.74,3.93
IX27GIRN-98,14.43,5.78,4.31,3.59,2.87,5.49,4.55
IX27GIRN-86,12.16,4.87,3.9,3.41,2.91,4.63,4.09
IX2HJGIRN-98,7.34,2.92,2.45,2.37,2.29,2.78,2.58
IX2HJGIRN-86,5.83,2.31,1.97,1.91,1.85,2.21,2.07
,,,,,,,
ITV3XXG5-89,34.22,13.7,12.05,10.85,9.64,13.01,13.01
ITV3XXG5-88,51.95,20.79,18.3,16.47,14.63,19.75,19.75
ITV3XXG5-84,38.36,15.35,13.51,12.16,10.8,14.58,14.58
,,,,,,,
IWI3W7D-88,48.32,19.34,17.02,16.33,15.65,18.37,18.37
,,,,,,,
IWIGIRN-89,5.44,2.17,1.96,1.88,1.81,2.06,2.06
IWIGIRN-86,4.99,2,1.79,1.73,1.66,1.89,1.89
,,,,,,,
IX1XXG6-98,45.29,18.13,16.18,15.22,14.25,17.21,17.01
,,,,,,,
IX1XXG6-98V,255.56,109.38,106.55,105.12,103.7,108.07,111.87
,,,,,,,
IWV3K969W-98,15.18,6.07,5.2,4.98,4.77,5.77,5.45
IWV3K959W-98,19,7.59,6.5,6.23,5.97,7.22,6.82
,,,,,,,
IWVGIRN-86,3.26,1.31,1.08,0.97,0.85,1.25,1.13
IWVGIRN-84,,,,,,,
,,,,,,,
INI8175C9-98,86.72,34.69,30.68,29.54,28.4,32.95,32.95
INI6959C9-98,155.87,62.2,54.64,51.68,48.73,59.08,59.08
,,,,,,,
,,,,,,,
INK719GIRN-98,18.95,7.58,6.17,5.65,5.13,7.19,7.19
INKHNP-98,40.32,16.13,14.21,13.55,12.9,15.32,14.9
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IHW3XXG6N-98,24.87,9.95,8.78,8.52,8.25,9.46,9.46
IHW87XXG6N-98,51.08,20.39,17.87,17.05,16.24,19.41,19.41
IHW81XXG6N-98,57.88,23.14,20.35,19.68,19.01,21.99,21.99
IHW75XXG6N-98,67.36,26.95,23.81,22.62,21.43,25.59,25.59
,,,,,,,
,,,,,,,
IHW3GIRN-95,3.98,1.58,1.4,1.35,1.3,1.51,1.51
IHW3GIRN-86,6.99,2.78,2.46,2.37,2.29,2.65,2.65
IHW87GIRN-95,8.52,3.42,3.02,2.9,2.78,3.24,3.24
IHW87GIRN-86,8.65,3.45,3.04,2.93,2.81,3.28,3.28
IHW81GIRN-95,9.21,3.68,3.27,3.12,2.97,3.5,3.5
IHW81GIRN-86,10.5,4.18,3.66,3.56,3.47,3.99,3.99
IHW75GIRN-95,14.58,5.84,5.19,4.98,4.78,5.55,5.55
IHW75GIRN-86,11.81,4.72,4.16,3.98,3.8,4.48,4.48
,,,,,,,
IEI8959-98,37.22,14.89,13.26,12.38,11.5,14.14,14.14
IEI8159-98,64.35,25.74,22.64,21.73,20.83,24.45,24.45
IEI7559-98,80.6,32.25,28.67,27.67,26.68,30.63,30.63
,,,,,,,
,,,,,,,
IEI734GIRN-98,18.98,7.59,6.51,5.96,5.42,7.2,7.2
INKHNP-98,40.32,16.13,14.21,13.55,12.9,15.32,14.9
SVW3989/W7,81.38,32.56,30.28,30.28,30.28,30.93,30.93
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
I879OVWX69M-98,20.46,8.19,7.22,7.22,7.22,7.76,7.76
I879OVWX59M-98,24.96,10,8.81,8.81,8.81,9.48,9.48
I849OVWX69M-98,29.77,11.9,10.64,10.64,10.64,11.31,11.31
I849OVWX59M-98,26.28,10.5,9.39,9.39,9.39,9.98,9.98
I829OVWX59M-98,32.92,13.15,11.32,11.32,11.32,12.51,12.51
I774OVWX69M-98,45.45,18.18,15.76,15.76,15.76,17.27,17.27
I774OVWX59M-98,29.95,11.98,10.39,10.39,10.39,11.38,11.38
I699OVWX59M-98,74.68,29.86,26.2,26.2,26.2,28.36,28.36
,,,,,,,
I849OVWX59M-98ZW,134.7,53.89,51.45,50.55,49.64,51.19,51.19
I849OVWX59M-98V,170.04,68.01,64.93,63.79,62.65,64.61,64.61
I774OVWX59M-98V,126.75,50.71,48.4,47.55,46.7,48.17,48.17
,,,,,,,
I75WRN-KHF,49.07,19.64,17.61,17.61,17.61,18.65,18.65
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
IOZ749WGT-98,55.21,22.09,20.61,19.88,19.14,20.98,20.98
,,,,,,,
ITZ8959-98,56.41,22.54,19.95,19.21,18.48,21.42,21.42
ITZ8459-98,63.79,25.52,22.48,21.78,21.09,24.24,24.24
ITZ7959-98,55.7,22.27,19.93,18.75,17.57,21.16,20.91
ITZ7159-98,80.04,32.02,28.01,26.01,24.01,30.41,29.41
,,,,,,,
ITZ7959-98V,141.36,56.55,53.98,53.04,52.09,53.71,53.71
ITZ7159-98V,228,91.2,87.07,85.55,84.03,86.63,86.63
,,,,,,,
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
I798HXM-98,10.11,4.03,3.56,3.31,3.06,3.84,3.75
I798HXM-96,13.48,5.38,5.11,4.7,4.29,5.12,5.37
I798HXM-86,10.48,4.18,3.97,3.65,3.33,3.98,4.17
I791HXM-98,14.2,5.67,5.07,4.87,4.67,5.39,5.39
I791HXM-96,12.75,5.08,4.54,4.11,3.69,4.84,4.79
I791HXM-86,9.71,3.87,3.45,3.28,3.1,3.69,3.64
,,,,,,,
,,,,,,,
,,,,,,,
IC899-98,28.97,11.6,10.24,9.88,9.51,11.01,11.01
IC899V-98,78.8,31.52,27.84,25.29,22.74,29.93,29.93
IC899H-98,80.15,32.06,28.32,26.29,24.27,30.45,30.45
IC899VH-98,127.67,51.07,45.11,41.1,37.09,48.51,48.51
,,,,,,,
ICNDH-98,48.72,19.49,17.22,15.35,13.48,18.52,18.52
ICVNKP-KHF,69.19,27.67,24.45,21.21,17.97,26.29,26.29
ICXIH-98,46.33,18.53,16.38,14.6,12.82,17.61,17.61
IC899G-96,17.23,6.89,6.1,5.82,5.54,6.55,6.55
IC899G-95,5.46,2.18,1.94,1.94,1.94,2.08,2.08
IC899TIG-98,8.08,3.23,2.87,2.87,2.87,3.08,3.08
IC899TIG-95,7.01,2.81,2.49,2.49,2.49,2.68,2.68
IC899TIG-75,6.36,2.54,2.25,2.25,2.25,2.43,2.43
IC899VBG-98,5.14,2.05,1.82,1.82,1.82,1.96,1.96
IC899VBG-95,5.38,2.15,1.91,1.91,1.91,2.05,2.05
IC899VBG-75,6.32,2.53,2.24,2.24,2.24,2.41,2.41
,,,,,,,
I924OVW-98,72.06,28.82,23.33,21.96,20.59,25.94,24.49
I924OVWH-98,120.07,48.02,39.47,38.41,37.34,43.22,41.45
I924OVWV-98,145,57.79,48.16,46.79,45.42,52.16,50.59
,,,,,,,
I837GIRN-96,15.67,6.27,5.47,5.22,4.98,5.95,5.74
,,,,,,,
I899OVW-98,110.52,33.09,27.33,25.89,24.44,29.49,28.7
I899OVWH-98,193.12,49.06,43.77,42.44,41.11,46.61,46.61
I899OVWV-98,145.97,48.7,40.94,39.84,38.73,44.16,43
I899OVWVH-98,198.1,41.97,38.68,37.85,37.03,39.88,39.88
,,,,,,,
I717GIRN-96,14.66,5.89,5.89,5.89,5.89,5.58,6.17
,,,,,,,
I849OVW-98,144.41,39.45,33.62,32.16,30.69,36.4,35.29
I849OVWH-98,108.54,41.14,37.11,36.11,35.11,39.07,39.07
I849OVWV-98,121.39,40.53,33.92,33.1,32.27,36.4,35.62
I849OVWVH-98,162.59,61.62,53.78,52.81,51.84,58.53,58.53
,,,,,,,
I717GIRN-96,14.66,5.89,5.89,5.89,5.89,5.58,6.17
,,,,,,,
I899OVWXXG6-98,68.42,25.9,21.76,20.73,19.69,24.61,22.85
I849OVWXXG6-98,89.47,33.9,29.22,28.06,26.89,32.2,30.7
,,,,,,,
I717GIRN-96,14.66,5.89,5.89,5.89,5.89,5.58,6.17
,,,,,,,
IH899OVWXXG6-98,46.33,17.51,15.5,15.05,14.59,16.65,16.65
IH899OVWXXG6H-98,97.45,36.94,32.46,31.94,31.42,35.08,35.08
IH899OVWXXG6V-98,131.73,49.91,44.25,43.62,42.99,47.42,47.42
IH899OVWXXG6VH-98,159.58,60.46,53.3,52.7,52.11,57.44,57.44
,,,,,,,
I899OVWIVG,95.32,29.5,23.59,22.12,20.65,25.81,24.77
I899OVWIVGV,154.52,51.47,42.69,41.43,40.17,46.33,44.82
,,,,,,,
IOG5XXG6-98,178.73,71.49,63.47,60.68,57.9,67.92,67.92
,,,,,,,
I83VNKP-KHF,76.81,30.72,26.85,25.68,24.51,29.18,29.18
INX969HO,40.01,15.16,13.44,12.96,12.48,14.4,14.4
,,,,,,,
IIY85XXG6-98,67.58,27.03,23.89,22.69,21.5,25.69,25.69
IIY85XXG6H-98,93.44,37.37,33.07,32.09,31.12,35.5,35.5
IIY85XXG6V-98,155.25,62.11,54.79,53.39,51.98,59,59
,,,,,,,
IIYHXIVD,5.32,2.13,1.84,1.65,1.46,2.03,2.03
IIYGIRNVB-98,19.46,7.81,6.92,6.42,5.92,7.39,7.39
IIYGIRNVB-95,22.54,9.02,7.95,7.46,6.97,8.55,8.55
IIYGIRNVB-75,17.63,7.05,6.22,5.83,5.45,6.69,6.69
IIYGIRNK-98,12.72,5.08,4.4,3.95,3.51,4.83,4.83
IIYGIRNK-95,17.68,7.05,6.19,5.68,5.16,6.72,6.72
IIYGIRNK-75,17.41,6.94,6.1,5.59,5.08,6.61,6.61
,,,,,,,
ISPN98959-98,146.36,58.54,49.68,47.9,46.12,55.62,52.15
ISPN98959V-98,197.75,79.11,69.72,68.38,67.05,75.15,73.21
ISPN98459-98,97.83,39.14,33.99,32.44,30.9,37.17,37.17
ISPN98459V-98,206.44,82.57,72.4,70.51,68.61,78.44,76.02
,,,,,,,
ISPNXW-95,22.89,9.15,7.63,6.87,6.11,8.7,8.01
ISPNXW-75,20.62,8.24,6.87,6.19,5.5,7.84,7.21
ISPNXLOO-98,32.74,13.11,13.11,13.11,13.11,12.44,13.76
ISPNVB-75,21.99,8.79,7.33,6.6,5.87,8.36,7.69
ISPNGIRN-95,13.46,5.38,4.48,4.04,3.59,5.12,4.71
ISPNGIRN-75,17.97,7.21,6,5.4,4.8,6.84,6.3
,,,,,,,
ISPOWK59-98,130.82,52.32,46.62,44.72,42.81,49.71,48.96
,,,,,,,
IVVH2K959-98,78.9,31.54,25.81,24.37,22.94,29.97,27.11
IVVN98959-98,101.45,40.61,34.99,33.59,32.19,38.56,36.75
,,,,,,,
IVVHGIRN-96,22.48,9.01,7.51,6.76,6.01,8.55,7.88
IVVHGIRN-86,30.27,12.11,10.76,10.09,9.42,11.51,11.3
IVVOGIRN-86,42.83,17.12,14.86,14.28,13.7,16.27,15.59
IVVNGIRN-86,50.44,20.16,16.83,15.98,15.13,19.17,17.67
,,,,,,,
IVVN98459-98,107.16,42.88,36.74,34.9,33.06,40.73,38.6
IVVN98459V-98,190.15,76.08,66.27,64.43,62.59,72.27,69.58
,,,,,,,
IVVNGIRN-86,50.44,20.16,16.83,15.98,15.13,19.17,17.67
,,,,,,,
IVVO97559-98,143.44,57.36,49.64,47.99,46.34,54.51,52.13
IVVO97559V-98,214.87,85.96,75.07,73.44,71.82,81.65,78.82
,,,,,,,
IVVOGIRN-96,34.76,13.9,12.36,11.59,10.81,13.21,12.98
IVVOGIRN-86,42.83,17.12,14.86,14.28,13.7,16.27,15.59
,,,,,,,
IKL89XXG6-98,53.9,21.56,19.11,19.11,19.11,20.47,20.47
IKL89XXG6H-98,107.49,43.01,38,38,38,40.85,40.85
IKL89XXG6V-98,87.63,35.05,30.89,30.89,30.89,33.3,33.3
IKL89XXG6VH-98,155.02,62.02,54.76,54.76,54.76,58.93,58.93
IKL81XXG6-98,67.28,26.9,23.69,22.75,21.82,25.56,25.56
IKL81XXG6H-98,117.21,46.88,41.19,40.08,38.96,44.53,44.53
IKL81XXG6V-98,132.66,53.06,46.82,45.61,44.41,50.42,50.42
IKL81XXG6VH-98,192.64,77.04,67.83,66.35,64.86,73.19,73.19
,,,,,,,
IKLCXXG6-98,42.92,17.17,15.15,15.15,15.15,16.29,16.29
IKLCXXG6H-98,77.6,31.04,27.42,27.42,27.42,29.49,29.49
IKLCXXG6V-98,,,,,,,
IKLCXXG6VH-98,110.3,44.12,38.98,38.98,38.98,41.92,41.92
,,,,,,,
IIL8159-95,202.94,81.18,71.68,67.14,62.6,77.12,77.12
,,,,,,,
I83VNKP-KHF,76.81,30.72,26.85,25.68,24.51,29.18,29.18
IILVB-95,60.14,24.04,21.18,19.86,18.54,22.84,22.84
IILHXIVD,6.33,2.53,2.24,1.96,1.68,2.41,2.41
,,,,,,,
IX899OVWM-98,99.56,29.85,26.38,24.98,23.58,28.33,27.7
IX899OVWMV-98,132.79,53.09,46.76,45.51,44.25,50.44,49.1
,,,,,,,
IX899OVWHJ-98,80.54,32.23,28.48,26.97,25.47,30.59,30.59
,,,,,,,
I75DOVW59VF-98,181.61,72.64,63.98,60.52,57.06,69.02,67.17
,,,,,,,
,,,,,,,
,,,,,,,
ISV83C7UG-75,42.49,16.99,15.01,15.01,15.01,16.14,16.14
ISV67C5UG-75,61.81,24.72,21.84,21.84,21.84,23.48,23.48
ISV79C4UG-75,42.32,16.93,14.96,14.96,14.96,16.08,16.08
ISV49C4UG-75,53.85,21.54,19.03,19.03,19.03,20.46,20.46
ISV49C4UGV-75,113.44,45.38,40.1,40.1,40.1,43.12,43.12
ISV29C4UG-75,76.77,30.71,27.13,27.13,27.13,29.18,29.18
ISV69C3UG-75,88.8,35.52,31.38,31.38,31.38,33.74,33.74
ISV39C3UG-75,81.19,32.47,28.69,28.69,28.69,30.85,30.85
,,,,,,,
ISVND-95,22.41,8.96,7.92,7.92,7.92,8.51,8.51
I6VN7K-95,68.7,27.48,24.29,24.29,24.29,26.12,26.12
ISV39W-KHF,,,,,,,
,,,,,,,
,,,,,,,
ISZ89597UGE7-75,47.5,19,16.92,16.92,16.92,18.05,18.05
ISZ79597UGE7-75,45.63,18.24,15.85,15.85,15.85,17.33,17.33
ISZ79595UGE7-75,63.37,25.34,22.62,22.62,22.62,24.09,24.09
